2025-11-12 14:14:41 | DC-Sensor-01 | 22.7°C | Valid: True
2025-11-15 12:25:01 | DC-Sensor-01 | 23.8°C | Valid: True
2025-11-15 12:25:02 | DC-Sensor-01 | 22.9°C | Valid: True
2025-11-15 12:25:03 | DC-Sensor-01 | 22.7°C | Valid: True
2025-11-15 12:25:04 | DC-Sensor-01 | 24°C | Valid: True
2025-11-15 12:29:10 | DC-Sensor-01 | 23.7°C | Valid: True
2025-11-15 12:29:11 | DC-Sensor-01 | 22.8°C | Valid: True
2025-11-15 12:29:12 | DC-Sensor-01 | 22.6°C | Valid: True
2025-11-15 12:29:13 | DC-Sensor-01 | 23.2°C | Valid: True
2025-11-15 12:30:54 | DC-Sensor-01 | 22.650191410921696°C | Valid: True
2025-11-15 12:30:55 | DC-Sensor-01 | 35°C | Valid: False
2025-11-15 12:30:56 | DC-Sensor-01 | 35°C | Valid: False
2025-11-15 12:30:57 | DC-Sensor-01 | 18°C | Valid: False
2025-11-15 12:31:59 | DC-Sensor-01 | 22.1°C | Valid: True
2025-11-15 12:32:00 | DC-Sensor-01 | 23.2°C | Valid: True
2025-11-15 12:32:01 | DC-Sensor-01 | 23°C | Valid: True
2025-11-15 12:32:02 | DC-Sensor-01 | 22.2°C | Valid: True
2025-11-15 12:32:03 | DC-Sensor-01 | 22.6°C | Valid: True
2025-11-15 12:32:04 | DC-Sensor-01 | 21.8°C | Valid: False
2025-11-15 12:32:05 | DC-Sensor-01 | 23.7°C | Valid: True
2025-11-15 12:32:06 | DC-Sensor-01 | 22.5°C | Valid: True
2025-11-15 12:32:07 | DC-Sensor-01 | 24°C | Valid: True
2025-11-15 12:32:08 | DC-Sensor-01 | 22°C | Valid: True
2025-11-15 12:32:09 | DC-Sensor-01 | 22.6°C | Valid: True
2025-11-15 12:32:10 | DC-Sensor-01 | 23.5°C | Valid: True
2025-11-15 12:32:11 | DC-Sensor-01 | 23.3°C | Valid: True
2025-11-15 12:32:12 | DC-Sensor-01 | 22.7°C | Valid: True
2025-11-15 12:32:13 | DC-Sensor-01 | 22.3°C | Valid: True
2025-11-15 12:32:14 | DC-Sensor-01 | 22.8°C | Valid: True
2025-11-15 12:32:15 | DC-Sensor-01 | 23.6°C | Valid: True
2025-11-15 12:32:16 | DC-Sensor-01 | 23.4°C | Valid: True
2025-11-15 12:34:15 | DC-Sensor-01 | 22.1°C | Valid: True
2025-11-15 12:34:16 | DC-Sensor-01 | 22.5°C | Valid: True
2025-11-15 12:34:17 | DC-Sensor-01 | 23.4°C | Valid: True
2025-11-15 12:34:18 | DC-Sensor-01 | 22.4°C | Valid: True
2025-11-15 12:34:19 | DC-Sensor-01 | 22.9°C | Valid: True
2025-11-15 12:34:20 | DC-Sensor-01 | 23.1°C | Valid: True
2025-11-15 12:34:21 | DC-Sensor-01 | 22.4°C | Valid: True
2025-11-15 12:34:22 | DC-Sensor-01 | 22°C | Valid: True
2025-11-15 12:34:23 | DC-Sensor-01 | 22.5°C | Valid: True
2025-11-15 12:34:24 | DC-Sensor-01 | 22.5°C | Valid: True
2025-11-15 12:34:25 | DC-Sensor-01 | 23.3°C | Valid: True
2025-11-15 12:34:26 | DC-Sensor-01 | 18°C | Valid: False
2025-11-15 12:34:27 | DC-Sensor-01 | 23.2°C | Valid: True
2025-11-15 12:34:28 | DC-Sensor-01 | 22.5°C | Valid: True
2025-11-15 12:34:29 | DC-Sensor-01 | 18°C | Valid: False
2025-11-15 12:34:31 | DC-Sensor-01 | 18°C | Valid: False
2025-11-15 12:36:34 | DC-Sensor-01 | 22.6°C | Valid: True
2025-11-15 12:36:35 | DC-Sensor-01 | 22.4°C | Valid: True
2025-11-15 12:36:36 | DC-Sensor-01 | 23.1°C | Valid: True
2025-11-15 12:36:37 | DC-Sensor-01 | 23.4°C | Valid: True
2025-11-15 12:36:38 | DC-Sensor-01 | 23°C | Valid: True
2025-11-15 12:36:39 | DC-Sensor-01 | 21.8°C | Valid: False
2025-11-15 12:36:40 | DC-Sensor-01 | 22.8°C | Valid: True
2025-11-15 12:36:41 | DC-Sensor-01 | 23.82680823745702°C | Valid: True
2025-11-15 12:36:42 | DC-Sensor-01 | 22.5°C | Valid: True
2025-11-15 12:37:51 | DC-Sensor-01 | 22°C | Valid: True
2025-11-15 12:37:52 | DC-Sensor-01 | 35°C | Valid: False
2025-11-15 12:37:53 | DC-Sensor-01 | 35°C | Valid: False
2025-11-15 12:37:54 | DC-Sensor-01 | 22.5°C | Valid: True
2025-11-19 15:16:11 | DC-Sensor-01 | 23.7°C | Valid: True
2025-11-19 15:16:12 | DC-Sensor-01 | 22.9°C | Valid: True
2025-11-19 15:16:13 | DC-Sensor-01 | 23.5°C | Valid: True
2025-11-19 15:16:14 | DC-Sensor-01 | 21.8°C | Valid: False
2025-11-19 15:16:15 | DC-Sensor-01 | 22.4°C | Valid: True
2025-11-19 15:16:16 | DC-Sensor-01 | 22.7°C | Valid: True
2025-11-19 15:16:17 | DC-Sensor-01 | 23.7°C | Valid: True
2025-11-19 15:16:18 | DC-Sensor-01 | 22.2°C | Valid: True
2025-11-19 15:16:19 | DC-Sensor-01 | 23°C | Valid: True
2025-11-19 15:16:20 | DC-Sensor-01 | 22.6°C | Valid: True
2025-11-19 15:16:22 | DC-Sensor-01 | 18°C | Valid: False
2025-11-19 15:16:23 | DC-Sensor-01 | 22.4°C | Valid: True
2025-11-19 15:16:24 | DC-Sensor-01 | 23.4°C | Valid: True
2025-11-19 15:16:25 | DC-Sensor-01 | 23.3°C | Valid: True
2025-11-19 16:12:05 | DC-Sensor-01 | 23.5°C | Valid: True
2025-11-19 16:12:06 | DC-Sensor-01 | 23.5°C | Valid: True
2025-11-19 16:12:07 | DC-Sensor-01 | 22.2°C | Valid: True
2025-11-19 16:12:08 | DC-Sensor-01 | 22.8°C | Valid: True
2025-11-21 12:10:58 | DC-Sensor-01 | 23.9°C | Valid: True
2025-11-21 12:10:59 | DC-Sensor-01 | 23.6°C | Valid: True
2025-11-21 12:11:00 | DC-Sensor-01 | 22.3°C | Valid: True
2025-11-21 12:11:01 | DC-Sensor-01 | 24.2°C | Valid: False
2025-11-21 12:11:02 | DC-Sensor-01 | 35°C | Valid: False
2025-11-21 12:11:03 | DC-Sensor-01 | 22.8°C | Valid: True
2025-11-25 19:51:50 | DC-Sensor-01 | 22.8°C | Valid: True
2025-11-25 19:51:51 | DC-Sensor-01 | 21.8°C | Valid: False
2025-11-25 19:51:52 | DC-Sensor-01 | 23.4°C | Valid: True
2025-11-26 19:16:08 | DC-Sensor-01 | 23.4°C | Valid: True
2025-11-26 19:16:09 | DC-Sensor-01 | 22.8°C | Valid: True
2025-11-26 19:16:10 | DC-Sensor-01 | 23.3°C | Valid: True
2025-11-26 19:16:11 | DC-Sensor-01 | 23.1°C | Valid: True
2025-11-26 19:16:12 | DC-Sensor-01 | 23.181827519890856°C | Valid: True
2025-11-26 19:16:13 | DC-Sensor-01 | 18°C | Valid: False
2025-11-26 19:16:14 | DC-Sensor-01 | 23.5°C | Valid: True
2025-11-26 19:16:15 | DC-Sensor-01 | 23.2°C | Valid: True
2025-11-26 19:16:16 | DC-Sensor-01 | 23.8°C | Valid: True
2025-11-26 19:16:17 | DC-Sensor-01 | 23.4°C | Valid: True
2025-11-26 19:16:18 | DC-Sensor-01 | 22.7°C | Valid: True
2025-11-26 19:16:19 | DC-Sensor-01 | 24.2°C | Valid: False
2025-11-26 19:16:20 | DC-Sensor-01 | 22.1°C | Valid: True
2025-11-26 19:16:21 | DC-Sensor-01 | 22.3°C | Valid: True
2025-11-26 19:16:22 | DC-Sensor-01 | 22.9°C | Valid: True
2025-11-26 19:16:23 | DC-Sensor-01 | 22.1°C | Valid: True
2025-11-26 19:16:24 | DC-Sensor-01 | 22.6°C | Valid: True
2025-11-26 19:16:25 | DC-Sensor-01 | 18°C | Valid: False
2025-11-26 19:16:26 | DC-Sensor-01 | 22.8°C | Valid: True
2025-11-26 19:16:27 | DC-Sensor-01 | 22.1°C | Valid: True
2025-11-26 19:16:28 | DC-Sensor-01 | 23°C | Valid: True
2025-11-26 19:50:16 | DC-Sensor-01 | 23.2°C | Valid: True
2025-11-26 19:50:17 | DC-Sensor-01 | 22.5°C | Valid: True
2025-11-26 19:50:18 | DC-Sensor-01 | 23.2°C | Valid: True
2025-11-26 20:23:32 | DC-Sensor-01 | 23.7°C | Valid: True
2025-11-26 20:23:33 | DC-Sensor-01 | 22.8°C | Valid: True
2025-11-26 20:23:34 | DC-Sensor-01 | 23.8°C | Valid: True
2025-11-26 20:23:35 | DC-Sensor-01 | 22.6°C | Valid: True
2025-11-26 20:23:36 | DC-Sensor-01 | 22.7°C | Valid: True
2025-11-26 20:23:37 | DC-Sensor-01 | 23.8°C | Valid: True
2025-11-26 20:23:38 | DC-Sensor-01 | 22.7°C | Valid: True
2025-11-26 20:25:14 | DC-Sensor-01 | 23.2°C | Valid: True
2025-11-26 20:25:15 | DC-Sensor-01 | 23.5°C | Valid: True
2025-11-26 20:25:16 | DC-Sensor-01 | 22.2°C | Valid: True
2025-11-26 20:30:59 | DC-Sensor-01 | 22.1°C | Valid: True
2025-11-26 20:31:00 | DC-Sensor-01 | 23.4°C | Valid: True
2025-11-26 20:31:01 | DC-Sensor-01 | 22.9°C | Valid: True
2025-11-26 21:15:08 | DC-Sensor-01 | 35°C | Valid: False
2025-11-26 21:15:09 | DC-Sensor-01 | 22.4°C | Valid: True
2025-11-26 21:15:10 | DC-Sensor-01 | 18°C | Valid: False
